pygame 2.0.2 (SDL 2.0.16, Python 3.9.12)
Hello from the pygame community. https://www.pygame.org/contribute.html
{'algo': 'ppo',
 'device': 'cuda',
 'episode_length': 500,
 'game_name': 'olympics-running',
 'load_episode': 900,
 'load_model': False,
 'load_run': 2,
 'map': 1,
 'max_episodes': 1500,
 'render': False,
 'save_interval': 100,
 'seed': 1,
 'shuffle_map': False}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /lustre/home/acct-stu/stu110/Olympics/rl_trainer/models/olympics-running/ppo/run1
Episode:  141 controlled agent:  1 ; Episode Return:  -102.0 ; win rate(controlled & opponent):  0.38 0.52 ; Trained episode: 52
Episode:  142 controlled agent:  1 ; Episode Return:  -332.0 ; win rate(controlled & opponent):  0.38 0.52 ; Trained episode: 53
Episode:  143 controlled agent:  1 ; Episode Return:  -90.0 ; win rate(controlled & opponent):  0.38 0.52 ; Trained episode: 53
Episode:  144 controlled agent:  1 ; Episode Return:  -206.0 ; win rate(controlled & opponent):  0.37 0.53 ; Trained episode: 53
Episode:  145 controlled agent:  1 ; Episode Return:  -428.0 ; win rate(controlled & opponent):  0.37 0.53 ; Trained episode: 53
Episode:  146 controlled agent:  1 ; Episode Return:  -111.0 ; win rate(controlled & opponent):  0.37 0.53 ; Trained episode: 53
Episode:  147 controlled agent:  1 ; Episode Return:  -3.0 ; win rate(controlled & opponent):  0.37 0.53 ; Trained episode: 53
Episode:  148 controlled agent:  1 ; Episode Return:  -310.0 ; win rate(controlled & opponent):  0.37 0.53 ; Trained episode: 54
Episode:  149 controlled agent:  1 ; Episode Return:  -8.0 ; win rate(controlled & opponent):  0.37 0.53 ; Trained episode: 54
Episode:  150 controlled agent:  1 ; Episode Return:  22.0 ; win rate(controlled & opponent):  0.38 0.52 ; Trained episode: 55
Episode:  151 controlled agent:  1 ; Episode Return:  -105.0 ; win rate(controlled & opponent):  0.37 0.53 ; Trained episode: 56
Episode:  152 controlled agent:  1 ; Episode Return:  7.0 ; win rate(controlled & opponent):  0.37 0.53 ; Trained episode: 56
Episode:  153 controlled agent:  1 ; Episode Return:  -137.0 ; win rate(controlled & opponent):  0.37 0.53 ; Trained episode: 57
Episode:  154 controlled agent:  1 ; Episode Return:  -88.0 ; win rate(controlled & opponent):  0.37 0.53 ; Trained episode: 57
Episode:  155 controlled agent:  1 ; Episode Return:  -126.0 ; win rate(controlled & opponent):  0.36 0.54 ; Trained episode: 57
Episode:  156 controlled agent:  1 ; Episode Return:  0.0 ; win rate(controlled & opponent):  0.36 0.54 ; Trained episode: 57
Episode:  157 controlled agent:  1 ; Episode Return:  -338.0 ; win rate(controlled & opponent):  0.37 0.53 ; Trained episode: 58
Episode:  158 controlled agent:  1 ; Episode Return:  -211.0 ; win rate(controlled & opponent):  0.36 0.54 ; Trained episode: 59
Episode:  159 controlled agent:  1 ; Episode Return:  -216.0 ; win rate(controlled & opponent):  0.35 0.55 ; Trained episode: 59
Episode:  160 controlled agent:  1 ; Episode Return:  -290.0 ; win rate(controlled & opponent):  0.36 0.54 ; Trained episode: 59
Episode:  161 controlled agent:  1 ; Episode Return:  -91.0 ; win rate(controlled & opponent):  0.36 0.54 ; Trained episode: 60
Episode:  162 controlled agent:  1 ; Episode Return:  -76.0 ; win rate(controlled & opponent):  0.35 0.55 ; Trained episode: 60
Episode:  163 controlled agent:  1 ; Episode Return:  6.0 ; win rate(controlled & opponent):  0.36 0.54 ; Trained episode: 60
Episode:  164 controlled agent:  1 ; Episode Return:  -100.0 ; win rate(controlled & opponent):  0.35 0.55 ; Trained episode: 61
Episode:  165 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.34 0.55 ; Trained episode: 61
Episode:  166 controlled agent:  1 ; Episode Return:  3.0 ; win rate(controlled & opponent):  0.34 0.55 ; Trained episode: 61
Episode:  167 controlled agent:  1 ; Episode Return:  -90.0 ; win rate(controlled & opponent):  0.33 0.56 ; Trained episode: 62
Episode:  168 controlled agent:  1 ; Episode Return:  -210.0 ; win rate(controlled & opponent):  0.32 0.57 ; Trained episode: 62
Episode:  169 controlled agent:  1 ; Episode Return:  -360.0 ; win rate(controlled & opponent):  0.32 0.57 ; Trained episode: 62
Episode:  170 controlled agent:  1 ; Episode Return:  20.0 ; win rate(controlled & opponent):  0.33 0.56 ; Trained episode: 62
Episode:  171 controlled agent:  1 ; Episode Return:  -76.0 ; win rate(controlled & opponent):  0.33 0.56 ; Trained episode: 63
Episode:  172 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.32 0.56 ; Trained episode: 63
Episode:  173 controlled agent:  1 ; Episode Return:  -68.0 ; win rate(controlled & opponent):  0.32 0.56 ; Trained episode: 63
Episode:  174 controlled agent:  1 ; Episode Return:  -230.0 ; win rate(controlled & opponent):  0.32 0.56 ; Trained episode: 63
Episode:  175 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.32 0.55 ; Trained episode: 63
Episode:  176 controlled agent:  1 ; Episode Return:  -193.0 ; win rate(controlled & opponent):  0.31 0.56 ; Trained episode: 63
Episode:  177 controlled agent:  1 ; Episode Return:  -369.0 ; win rate(controlled & opponent):  0.32 0.55 ; Trained episode: 63
Episode:  178 controlled agent:  1 ; Episode Return:  -219.0 ; win rate(controlled & opponent):  0.32 0.55 ; Trained episode: 64
Episode:  179 controlled agent:  1 ; Episode Return:  -255.0 ; win rate(controlled & opponent):  0.32 0.55 ; Trained episode: 65
Episode:  180 controlled agent:  1 ; Episode Return:  -211.0 ; win rate(controlled & opponent):  0.32 0.56 ; Trained episode: 66
Episode:  181 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.31 0.56 ; Trained episode: 66
Episode:  182 controlled agent:  1 ; Episode Return:  13.0 ; win rate(controlled & opponent):  0.32 0.55 ; Trained episode: 66
Episode:  183 controlled agent:  1 ; Episode Return:  15.0 ; win rate(controlled & opponent):  0.32 0.55 ; Trained episode: 67
Episode:  184 controlled agent:  1 ; Episode Return:  -174.0 ; win rate(controlled & opponent):  0.33 0.54 ; Trained episode: 68
Episode:  185 controlled agent:  1 ; Episode Return:  -492.0 ; win rate(controlled & opponent):  0.32 0.55 ; Trained episode: 69
Episode:  186 controlled agent:  1 ; Episode Return:  -127.0 ; win rate(controlled & opponent):  0.32 0.56 ; Trained episode: 69
Episode:  187 controlled agent:  1 ; Episode Return:  -169.0 ; win rate(controlled & opponent):  0.32 0.57 ; Trained episode: 69
Episode:  188 controlled agent:  1 ; Episode Return:  -83.0 ; win rate(controlled & opponent):  0.31 0.58 ; Trained episode: 69
Episode:  189 controlled agent:  1 ; Episode Return:  -146.0 ; win rate(controlled & opponent):  0.32 0.58 ; Trained episode: 69
